0 0 7 5 14 13 0 0 0 0 16 15 6 9 2 0 0 4 16 7 0 4 4 0 0 6 12 1 0 5 7 0 0 8 7 0 0 12 3 0 0 4 8 0 4 12 0 0 0 2 12 5 15 4 0 0 0 0 6 15 6 0 0 0 
0 0 0 0 12 8 0 0 0 0 0 3 16 16 0 0 0 0 1 13 16 11 0 0 0 3 15 16 16 8 0 0 0 0 3 7 16 8 0 0 0 0 0 4 16 8 0 0 0 0 0 4 16 14 0 0 0 0 0 0 14 15 5 0 
0 3 16 15 1 0 0 0 0 10 16 15 6 0 0 0 0 13 10 13 8 0 0 0 0 1 3 11 10 0 0 0 0 0 0 15 8 0 0 0 0 0 4 16 10 5 7 0 0 1 13 16 16 16 16 0 0 2 14 15 11 8 3 0 
0 0 3 12 16 14 0 0 0 3 15 16 15 14 0 0 0 3 12 1 15 8 0 0 0 0 0 9 16 8 0 0 0 0 0 10 16 16 8 0 0 0 0 2 5 13 8 0 0 0 2 11 11 15 5 0 0 0 3 16 16 9 0 0 
0 0 0 1 13 7 0 0 0 0 0 10 14 1 0 0 0 0 3 16 5 0 0 0 0 0 13 11 0 3 8 0 0 6 15 2 0 14 7 0 0 8 16 12 13 16 4 0 0 3 11 11 15 12 0 0 0 0 0 0 16 9 0 0 
0 1 13 14 16 14 3 0 0 4 14 8 7 3 0 0 0 6 11 0 0 0 0 0 0 5 16 15 11 5 0 0 0 2 7 7 10 16 0 0 0 0 0 0 3 16 0 0 0 0 7 5 13 11 0 0 0 0 15 16 10 1 0 0 
0 0 0 13 12 0 0 0 0 0 6 16 4 0 0 0 0 2 16 10 0 0 0 0 0 5 16 10 0 0 0 0 0 8 15 15 6 0 0 0 0 3 16 14 13 10 2 0 0 0 12 16 13 16 12 0 0 0 1 10 16 14 4 0 
0 0 5 15 16 14 1 0 0 0 11 13 9 16 5 0 0 0 0 0 5 16 2 0 0 0 0 0 9 11 0 0 0 0 7 13 15 12 1 0 0 0 7 14 14 12 4 0 0 0 0 14 3 0 0 0 0 0 7 10 0 0 0 0 
0 0 5 12 16 10 0 0 0 6 16 13 3 15 1 0 0 11 8 5 5 10 0 0 0 4 11 2 12 2 0 0 0 0 6 16 6 0 0 0 0 0 2 15 8 0 0 0 0 0 8 13 8 0 0 0 0 0 5 15 4 0 0 0 
0 0 9 13 6 0 0 0 0 0 14 7 11 3 0 0 0 4 7 8 5 8 0 0 0 8 10 15 14 9 0 0 0 0 4 7 9 13 1 0 0 0 0 0 0 5 11 0 0 0 2 0 2 12 6 0 0 0 10 14 14 7 0 0 
